index,link,title,description,positive,negative,neutral,compound,Month
50,https://www.theguardian.com/world/2019/dec/08/trump-kim-jong-un-north-korea-nuclear-test,Trump: Kim Jong-un risks losing everything if he acts 'in a hostile way',"3 days ago · Donald Trump said on Sunday North Korean leader Kim Jong-un risks losing “everything” and his country must denuclearize, after the North said it had carried...",0.0,0.448,0.552,-0.743,December
51,https://www.usatoday.com/story/news/world/2019/12/08/north-korea-test-previously-dismantled-site/4374096002/,North Korea: 'Important test' conducted at once dismantled Sohae site,"3 days ago · President Donald Trump warned North Korean leader Kim Jong Un that he could be putting their ""special relationship"" at risk if his regime begins to behave...",0.167,0.0,0.833,0.2023,December
52,https://www.washingtontimes.com/news/2019/dec/8/kim-jong-un-nuke-test-big-mistake-obrien-says/,"Kim Jong-un nuke test 'big mistake,' Robert O'Brien says",3 days ago · Analysts say North Korean leader Kim Jong-un is trying to increase pressure on Washington in line with his end-of-year mandate that the Trump administration...,0.0,0.0,1.0,0.0,December
53,https://www.cnn.com/videos/world/2019/12/08/north-korea-important-test-satellite-launching-ground-diamond-sot-nr-vpx.cnn,Trump issues warning to Kim Jong Un after reports of 'important' test at missile site,3 days ago · Trump issues warning to Kim after reports of 'important' test ... reports from the White House where President Trump has issued a warning to Kim Jong Un.,0.0,0.146,0.854,-0.34,December
54,https://www.independent.co.uk/news/world/asia/trump-north-korea-kim-jong-un-denuclearisation-missile-test-a9238196.html,North Korea touts 'important test' at rocket launch site as Trump ...,3 days ago · North Korea has claimed it carried out a “very important test” this weekend at a long-range rocket launch site that was partially dismantled at the start of...,0.14,0.085,0.775,0.1779,December
55,https://www.nambuccaguardian.com.au/story/6532278/trump-kim-jong-un-risks-losing-everything/%3Fcs%3D10970,Trump: Kim Jong-un risks losing everything,"3 days ago · US President Donald Trump says North Korean leader Kim Jong-un risks losing ""everything"" if he resumes hostility and his country must denuclearise, after the...",0.0,0.54,0.46,-0.5719,December
56,https://www.nknews.org/2019/12/dont-void-our-special-relationship-trump-warns-kim-jong-un-after-latest-test/,"Don't “void” our special relationship, Trump warns Kim Jong Un after latest test","3 days ago · North Korean leader Kim Jong Un, has “everything” to lose if he continues to provoke the United States and “acts in a hostile way,” U.S. President Donald Trump...",0.0,0.25,0.75,-0.3935,December
57,https://thehill.com/opinion/international/472920-kim-jong-un-cannot-afford-to-fail-again,Kim Jong Un cannot afford to fail again,"3 days ago · Except that the Kim family has a long history of failure when it comes to its U.S. policy. Above all, Pyongyang has failed in its main goal, dating to the 1970s...",0.289,0.0,0.711,0.431,December
58,https://www.rt.com/news/475333-kim-ski-resort-opening/,Missiles aside: Kim Jong-un smiles big as he inaugurates N. Korea's ...,"3 days ago · Situated deep in North Korea's highlands, an ultra-modern mountain resort opened its doors to local (and maybe foreign) visitors. If you consider spending your...",0.22,0.0,0.78,0.4767,December
59,https://news.sky.com/story/north-korea-claims-to-have-carried-out-very-important-test-at-missile-site-11881169,Donald Trump says Kim Jong Un is too smart for hostile act after ...,"3 days ago · President Donald Trump says North Korea's leader ""has too much to lose"" to act in a hostile way, after the secretive state's latest military test. Kim Jong Un is...",0.156,0.15,0.694,0.0258,December
60,https://www.thesun.co.uk/news/10508799/trump-warning-shot-north-korea-nuke/,Donald Trump fires warning shot at Kim Jong-un after latest 'nuclear ...,"3 days ago · DONALD Trump today warned trigger-happy North Korea it has ""too much to lose"" hours after its latest controversial ""missile"" test. The tough-talking US...",0.0,0.179,0.821,-0.34,December
61,https://nypost.com/2019/12/08/trump-warns-kim-jong-un-he-has-everything-to-lose-after-test-at-north-korea-missile-site/,Trump warns Kim Jong Un he has 'everything' to lose after test at ...,3 days ago · President Trump on Sunday said North Korean leader Kim Jong Un has “everything” to lose by acting aggressively after Pyongyang conducted a “very important...,0.0,0.255,0.745,-0.4767,December
62,https://www.dailymail.co.uk/news/article-7768979/North-Korean-leader-Kim-Jong-opens-new-hot-spring-son-demands-despot-releases-father.html,North Korean's Kim opens hot spring as son demands he releases ...,3 days ago · Kim Jong-un attended a ceremony to officially open a hot spring resort as the son of a man kidnapped 50 years ago today demanded his father is released.,0.0,0.0,1.0,0.0,December
63,https://www.thedailybeast.com/kim-jong-uns-ugly-christmas-surprise-for-donald-trump-a-return-to-threats-of-war,Kim Jong Un's Ugly Christmas Surprise: A Return to Threats of War,3 days ago · The move comes as North Korean leader Kim Jong Un mingles action with a return to insulting rhetoric and a hardened negotiating posture to get the U.S. to...,0.11,0.524,0.366,-0.836,December
64,https://www.nknews.org/2019/12/kim-jong-un-oversees-opening-of-yangdok-hot-springs-and-ski-resort/,Kim Jong Un oversees opening of Yangdok Hot Springs and ski resort,3 days ago · North Korea held an opening ceremony on Saturday for one of the country's top priority construction projects in the Yangdok Hot Spring Cultural Recreation...,0.0,0.0,1.0,0.0,December
65,https://www.reuters.com/article/us-northkorea-missiles/north-korea-carries-out-very-important-test-at-satellite-launch-site-kcna-idUSKBN1YC019,North Korea carries out 'very important' test at once-dismantled ...,4 days ago · U.S. President Donald Trump told reporters in June 2018 after his first summit with North Korean leader Kim Jong Un that North Korea had pledged to dismantle...,0.189,0.0,0.811,0.2716,December
66,https://www.channelnewsasia.com/news/world/trump-says-does-not-think-kim-jong-un-wants-to-interfere-in-us-election-12164694,Trump says does not think Kim Jong Un wants to interfere in US ...,"4 days ago · FILE PHOTO: U.S. President Donald Trump meets with North Korean leader Kim Jong Un at the demilitarized zone separating the two Koreas, in Panmunjom,...",0.0,0.0,1.0,0.0,December
67,https://www.washingtontimes.com/news/2019/dec/7/trump-doesnt-think-kim-jong-un-will-rain-his-2020-/,Trump doesn't think Kim Jong Un will rain on his 2020 parade,"4 days ago · President Trump on Saturday said he doesn't think North Korean leader Kim Jong Un will lash out in a way that disrupts the U.S. campaign season, despite...",0.0,0.0,1.0,0.0,December
68,https://www.businessinsider.com/kim-jong-uns-clothing-has-serious-symbolic-meaning-2019-12,Kim Jong Un's clothing has serious symbolic meaning,"4 days ago · Kim Jong Un's fashion choices give insight into the North Korean leader's self-perception, relationship with adversaries, and changes in North Korea. Kim has...",0.0,0.157,0.843,-0.0772,December
69,https://www.dailynk.com/english/kim-jong-un-orders-improvements-air-force-weaponry/,Kim Jong Un orders improvements in air force weaponry - Daily NK,"5 days ago · After the breakdown in US-North Korean negotiations in Hanoi in February, North Korean leader Kim Jong Un ordered the North Korean air force to enhance...",0.174,0.144,0.682,0.1027,December
70,https://www.huffpost.com/entry/daily-show-trump-kim-jong-un-christmas_n_5de975ece4b00149f73dd697,'Daily Show' Takes A Stab At What Kim Jong Un Might Get Trump For Christmas,6 days ago · The “Daily Show” host roasted the latest development in President Donald Trump and Kim Jong Un's relationship on Thursday after Trump seemingly rubbed...,0.0,0.226,0.774,-0.5859,December
71,https://www.foxnews.com/world/north-korea-to-warns-trump-over-rocket-man-nickname,"North Korea to Trump: Stop calling Kim Jong Un 'Rocket Man', or we ...","6 days ago · In this June 30 file photo, President Trump, left, meets with North Korean leader Kim Jong Un at the North Korean side of the border at the village of Panmunjom...",0.0,0.145,0.855,-0.296,December
72,https://www.cnn.com/2019/12/04/asia/north-korea-kim-jong-un-intl-hnk/index.html,North Korea revives 'dotard' insult after Trump's 'Rocket Man ...,"6 days ago · ... again described Donald Trump as a ""dotard"" after the US President revived the war words with North Korean leader Kim Jong Un by calling him ""Rocket Man."".",0.187,0.237,0.576,-0.1779,December
73,https://www.dailymail.co.uk/news/article-7758777/Kim-Jong-displeased-Trumps-Rocket-Man-remarks.html,Kim Jong Un was 'displeased' by Trump's Rocket Man remarks,6 days ago · North Korea has threatened to resume insults of Donald Trump and consider him a 'dotard' if he continues to refer to leader Kim Jong Un as Rocket Man.,0.0,0.0,1.0,0.0,December
74,https://ijr.com/north-korea-warns-dotard-trump-to-stop-calling-kim-jong-un-rocket-man/,North Korea Warns 'Dotard' Trump to Stop Calling Kim Jong Un ...,"6 days ago · U.S. President Donald Trump's comments on military force and the North's leader, Kim Jong Un, would represent “a very dangerous challenge” if they were...",0.0,0.265,0.735,-0.3818,December
75,https://www.straitstimes.com/asia/east-asia/north-korea-says-very-dangerous-challenge-if-trump-calls-kim-jong-un-rocket-man-again,North Korea says 'very dangerous challenge' if Trump calls Kim ...,"6 days ago · SEOUL (REUTERS, AFP) - Should US President Donald Trump call North Korean leader Kim Jong Un ""Rocket Man"" again, that would represent a ""very...",0.113,0.243,0.644,-0.4243,December
76,https://www.military.com/daily-news/2019/12/05/kim-jong-un-again-rides-horse-sacred-peak-north-korea-raps-trump.html,Kim Jong Un Again Rides Horse Up Sacred Peak as North Korea ...,"6 days ago · SEOUL, South Korea — North Korean leader Kim Jong Un rode a white horse up a sacred mountain in his second symbolic visit in less than two months, state...",0.0,0.0,1.0,0.0,December
77,http://english.hani.co.kr/arti/english_edition/e_northkorea/919767.html,[News analysis] Kim Jong-un hints important decision of new path to ...,"6 days ago · After climbing to Cheonji, the crater lake at the top of Mt. Baektu, North Korean leader Kim Jong-un invoked the “indomitable mental power of self-reliance” and...",0.141,0.0,0.859,0.2023,December
78,https://asia.nikkei.com/Spotlight/N-Korea-at-crossroads/Kim-Jong-Un-s-uncle-Pensioner-or-soon-to-be-purged,Kim Jong Un's uncle: Pensioner or soon to be purged?,"6 days ago · SEOUL -- The return of North Korean leader Kim Jong Un's uncle, Kim Pyong Il, after three decades in near exile has provided grist for the rumor mill over the...",0.0,0.0,1.0,0.0,December
79,https://www.indiatoday.in/world/story/kim-jong-un-rides-again-as-north-korea-warns-us-against-using-military-force-1625284-2019-12-05,Kim Jong Un rides again as North Korea warns US against using ...,"1 week ago · North Korea said it would take ""prompt corresponding actions"" if the United States resorts to military force, state media reported on Wednesday, as tensions rise...",0.0,0.104,0.896,-0.1027,December
80,https://www.news.com.au/finance/work/leaders/pictures-of-north-korean-leader-reveal-scary-nuclear-truth/news-story/16394a70d2388f2e02fcf6d050ab29ca,Kim Jong-un horse photos: Message behind bizarre new pictures,"1 week ago · “We don't know exactly what Kim Jong-un has on his mind, but looking at North Korea's official media, we can see he is preparing to cease the moratorium now...",0.0,0.223,0.777,-0.3182,December
81,https://www.thenational.ae/world/asia/back-on-the-horse-kim-jong-un-takes-snowy-ride-in-new-photos-1.946608,Back on the horse: Kim Jong-un takes snowy ride in new photos,"1 week ago · North Korean official media has released photographs of leader Kim Jong-un riding a white horse on a sacred mountain, in a possible signal of coming policy...",0.0,0.0,1.0,0.0,December
82,https://www.nbcnews.com/news/world/kim-jong-un-again-rides-horse-sacred-peak-n-korea-n1095701,Kim Jong Un again rides horse up sacred peak as N. Korea raps ...,"1 week ago · SEOUL, South Korea — North Korean leader Kim Jong Un rode a white horse up a sacred mountain in his second symbolic visit in less than two months, state...",0.0,0.0,1.0,0.0,December
83,https://www.freepressjournal.in/world/north-korean-leader-kim-jong-un-rides-up-mount-paektu,North Korean leader Kim Jong Un rides up Mount Paektu,"1 week ago · Seoul: North Korean leader Kim Jong Un rode a white horse up a sacred mountain on his second symbolic visit there, state media reported Wednesday, as his...",0.0,0.0,1.0,0.0,December
