index,link,title,description,positive,negative,neutral,compound,Month
85,https://www.thejournal.ie/trump-kim-jong-un-everything-to-lose-4923583-Dec2019/,Trump warns Kim Jong Un had 'everything' to lose through hostility ...,"1 week ago · US PRESIDENT DONALD Trump has warned that North Korea's Kim Jong Un had “everything” to lose through hostility towards the United States, after...",0.0,0.458,0.542,-0.765,December
86,https://www.malaysiakini.com/news/502960,Trump says Kim Jong Un risks losing 'everything' after N Korea ...,"1 week ago · US President Donald Trump said on Sunday that North Korean leader Kim Jong Un risks losing ""everything"" if he resumes hostility and his country must...",0.0,0.343,0.657,-0.5719,December
87,https://economictimes.indiatimes.com/news/international/world-news/trump-says-kim-jong-un-risks-losing-everything-after-north-korea-claims-major-test/articleshow/72433844.cms,Trump says Kim Jong Un risks losing 'everything' after North Korea ...,"1 week ago · WASHINGTON/SEOUL - U.S. President Donald Trump said on Sunday that North Korean leader Kim Jong Un risks losing ""everything"" if he resumes hostility...",0.0,0.32,0.68,-0.5719,December
88,https://www.cnn.com/2019/12/08/world/meanwhile-in-america-december-9-intl/index.html,Have Trump and Kim Jong Un fallen out of 'love'?,"1 week ago · This story was originally published in the December 9 edition of Meanwhile in America, CNN's daily email about US politics for global readers. Sign up here to...",0.0,0.217,0.783,-0.3612,December
89,https://news.cgtn.com/news/2019-12-09/Trump-warns-Kim-Jong-Un-of-losing-everything-if-hostility-resumes-Mh7TIMQ8nK/index.html,Trump warns Kim Jong Un of losing 'everything' if hostility resumes,"1 week ago · ""Kim Jong Un is too smart and has far too much to lose, everything actually, if he acts in a hostile way. He signed a strong Denuclearization Agreement with me...",0.0,0.484,0.516,-0.7579,December
90,https://www.dailymail.co.uk/news/article-7770541/Trump-warns-Kim-Jong-lose-North-Korea-doesnt-denuclearize-promised.html,Trump warns Kim he has 'everything to lose if he doesn't denuclearize',1 week ago · Trump warns Kim Jong-un he has 'everything to lose if North Korea doesn't denuclearize as promised' hours after Pyongyang conducts test at satellite launch...,0.0,0.291,0.709,-0.4767,December
91,https://www.cnn.com/2019/12/08/politics/north-korea-donald-trump-test-kim-jong-un/index.html,Trump warns Kim could lose 'special relationship' after North Korea ...,"1 week ago · Washington (CNN) President Donald Trump warned Sunday that North Korean Leader Kim Jong Un could ""void"" their ""special relationship"" amid reports that the...",0.182,0.277,0.541,-0.1027,December
92,https://www.theguardian.com/world/2019/dec/08/trump-kim-jong-un-north-korea-nuclear-test,Trump: Kim Jong-un risks losing everything if he acts 'in a hostile way',"1 week ago · Donald Trump said on Sunday North Korean leader Kim Jong-un risks losing “everything” and his country must denuclearize, after the North said it had carried...",0.0,0.448,0.552,-0.743,December
93,https://www.indiatoday.in/world/story/kim-jong-un-too-much-everything-lose-resumes-hostility-donald-trump-test-north-korea-missile-site-1626487-2019-12-09,Kim Jong Un has everything to lose: Donald Trump after test at North ...,"1 week ago · After North Korea said that it had carried out a “successful test of great significance”, US President Donald Trump tweeted, ""Kim Jong Un is too smart and has far...",0.0,0.172,0.828,-0.4019,December
94,https://www.nknews.org/2019/12/dont-void-our-special-relationship-trump-warns-kim-jong-un-after-latest-test/,"Don't “void” our special relationship, Trump warns Kim Jong Un after latest test","1 week ago · North Korean leader Kim Jong Un, has “everything” to lose if he continues to provoke the United States and “acts in a hostile way,” U.S. President Donald Trump...",0.0,0.25,0.75,-0.3935,December
95,https://thehill.com/opinion/international/472920-kim-jong-un-cannot-afford-to-fail-again,Kim Jong Un cannot afford to fail again,"1 week ago · Except that the Kim family has a long history of failure when it comes to its U.S. policy. Above all, Pyongyang has failed in its main goal, dating to the 1970s...",0.289,0.0,0.711,0.431,December
96,https://www.thesun.co.uk/news/10508799/trump-warning-shot-north-korea-nuke/,Donald Trump fires warning shot at Kim Jong-un after latest 'nuclear ...,"1 week ago · DONALD Trump today warned trigger-happy North Korea it has ""too much to lose"" hours after its latest controversial ""missile"" test. The tough-talking US...",0.0,0.179,0.821,-0.34,December
97,https://nypost.com/2019/12/08/trump-warns-kim-jong-un-he-has-everything-to-lose-after-test-at-north-korea-missile-site/,Trump warns Kim Jong Un he has 'everything' to lose after test at ...,1 week ago · President Trump on Sunday said North Korean leader Kim Jong Un has “everything” to lose by acting aggressively after Pyongyang conducted a “very important...,0.0,0.255,0.745,-0.4767,December
98,https://www.dailymail.co.uk/news/article-7768979/North-Korean-leader-Kim-Jong-opens-new-hot-spring-son-demands-despot-releases-father.html,North Korean's Kim opens hot spring as son demands he releases ...,1 week ago · Kim Jong-un attended a ceremony to officially open a hot spring resort as the son of a man kidnapped 50 years ago today demanded his father is released.,0.0,0.0,1.0,0.0,December
99,https://www.thedailybeast.com/kim-jong-uns-ugly-christmas-surprise-for-donald-trump-a-return-to-threats-of-war,Kim Jong Un's Ugly Christmas Surprise: A Return to Threats of War,1 week ago · The move comes as North Korean leader Kim Jong Un mingles action with a return to insulting rhetoric and a hardened negotiating posture to get the U.S. to...,0.11,0.524,0.366,-0.836,December
